PROVIDER_ID,SPECIALTY,CLINIC_ID,CLINIC_ASSIGNMENT
PR00119,Pulmonology,C015,Full-time
PR00096,Ophthalmology,C013,Full-time
PR00157,Psychiatry,C012,Full-time
PR00120,Oncology,C007,Full-time
PR00085,Psychiatry,C012,Full-time
PR00201,Oncology,C007,Part-time
PR00082,Oncology,C007,Full-time
PR00029,Dermatology,C005,Full-time
PR00113,Gastroenterology,C009,Part-time
PR00158,Obstetrics & Gynecology,C014,Full-time
PR00073,Ophthalmology,C013,Full-time
PR00145,Dermatology,C005,Full-time
PR00100,Psychiatry,C012,Part-time
PR00081,Dentistry,C004,Full-time
PR00139,Ophthalmology,C013,Full-time
PR00215,Cardiology,C002,Full-time
PR00143,Orthopedics,C003,Full-time
PR00116,Ophthalmology,C013,Full-time
PR00030,Dermatology,C005,Part-time
PR00009,Orthopedics,C003,Full-time
PR00135,Oncology,C007,Full-time
PR00204,Pulmonology,C015,Full-time
PR00044,Oncology,C007,Full-time
PR00054,Urology,C011,Full-time
PR00078,Neurology,C006,Part-time
PR00211,Pulmonology,C015,Part-time
PR00053,Neurology,C006,Part-time
PR00191,Psychiatry,C012,Part-time
PR00177,Gastroenterology,C009,Full-time
PR00159,Dentistry,C004,Full-time
PR00074,Dentistry,C004,Part-time
PR00131,Endocrinology,C010,Part-time
PR00134,Dermatology,C005,Full-time
PR00217,Urology,C011,Full-time
PR00168,Psychiatry,C012,Full-time
PR00008,Ophthalmology,C013,Full-time
PR00206,Dermatology,C005,Part-time
PR00162,Obstetrics & Gynecology,C014,Full-time
PR00076,Endocrinology,C010,Full-time
PR00051,Pulmonology,C015,Full-time
PR00112,Pulmonology,C015,Full-time
PR00010,Pulmonology,C015,Full-time
PR00025,Family Medicine,C001,Part-time
PR00033,Orthopedics,C003,Rotating
PR00142,Pulmonology,C015,Rotating
PR00055,Endocrinology,C010,Full-time
PR00173,Oncology,C007,Part-time
PR00087,Obstetrics & Gynecology,C014,Full-time
PR00188,Orthopedics,C003,Full-time
PR00181,Orthopedics,C003,Full-time
PR00163,Dermatology,C005,Part-time
PR00169,Psychiatry,C012,Full-time
PR00153,Urology,C011,Part-time
PR00059,Gastroenterology,C009,Part-time
PR00150,Gastroenterology,C009,Full-time
PR00023,Urology,C011,Full-time
PR00022,Urology,C011,Full-time
PR00132,Dermatology,C005,Full-time
PR00155,Gastroenterology,C009,Part-time
PR00197,Psychiatry,C012,Rotating
PR00208,Urology,C011,Full-time
PR00176,Gastroenterology,C009,Full-time
PR00166,Urology,C011,Full-time
PR00031,Pulmonology,C015,Full-time
PR00047,Cardiology,C002,Rotating
PR00090,Orthopedics,C003,Part-time
PR00064,Psychiatry,C012,Full-time
PR00130,Dentistry,C004,Full-time
PR00160,Otolaryngology,C008,Full-time
PR00170,Orthopedics,C003,Part-time
PR00097,Psychiatry,C012,Part-time
PR00042,Family Medicine,C001,Full-time
PR00205,Oncology,C007,Rotating
PR00106,Orthopedics,C003,Full-time
PR00019,Pulmonology,C015,Full-time
PR00067,Urology,C011,Rotating
PR00063,Orthopedics,C003,Full-time
PR00185,Cardiology,C002,Full-time
PR00140,Psychiatry,C012,Full-time
PR00190,Psychiatry,C012,Full-time
PR00068,Otolaryngology,C008,Part-time
PR00095,Cardiology,C002,Full-time
PR00146,Pulmonology,C015,Full-time
